_id,positionChatId,walletId,positions[0].baseMint,positions[1].baseMint,positions[2].baseMint,positions[3].baseMint,positions[4].baseMint,positions[5].baseMint,positions[6].baseMint,positions[7].baseMint,positions[8].baseMint,positions[9].baseMint,positions[10].baseMint,positions[11].baseMint,positions[12].baseMint,positions[13].baseMint,positions[14].baseMint,positions[15].baseMint,positions[16].baseMint,positions[17].baseMint,positions[18].baseMint,positions[19].baseMint,positions[20].baseMint,positions[21].baseMint,positions[22].baseMint,positions[23].baseMint,positions[24].baseMint,positions[25].baseMint,positions[26].baseMint,positions[27].baseMint,positions[28].baseMint,positions[29].baseMint,positions[30].baseMint,positions[31].baseMint,positions[32].baseMint,positions[0].name,positions[1].name,positions[2].name,positions[3].name,positions[4].name,positions[5].name,positions[6].name,positions[7].name,positions[8].name,positions[9].name,positions[10].name,positions[11].name,positions[12].name,positions[13].name,positions[14].name,positions[15].name,positions[16].name,positions[17].name,positions[18].name,positions[19].name,positions[20].name,positions[21].name,positions[22].name,positions[23].name,positions[24].name,positions[25].name,positions[26].name,positions[27].name,positions[28].name,positions[29].name,positions[30].name,positions[31].name,positions[32].name,positions[0].symbol,positions[1].symbol,positions[2].symbol,positions[3].symbol,positions[4].symbol,positions[5].symbol,positions[6].symbol,positions[7].symbol,positions[8].symbol,positions[9].symbol,positions[10].symbol,positions[11].symbol,positions[12].symbol,positions[13].symbol,positions[14].symbol,positions[15].symbol,positions[16].symbol,positions[17].symbol,positions[18].symbol,positions[19].symbol,positions[20].symbol,positions[21].symbol,positions[22].symbol,positions[23].symbol,positions[24].symbol,positions[25].symbol,positions[26].symbol,positions[27].symbol,positions[28].symbol,positions[29].symbol,positions[30].symbol,positions[31].symbol,positions[32].symbol,positions[0].tradeType,positions[1].tradeType,positions[2].tradeType,positions[3].tradeType,positions[4].tradeType,positions[5].tradeType,positions[6].tradeType,positions[7].tradeType,positions[8].tradeType,positions[9].tradeType,positions[10].tradeType,positions[11].tradeType,positions[12].tradeType,positions[13].tradeType,positions[14].tradeType,positions[15].tradeType,positions[16].tradeType,positions[17].tradeType,positions[18].tradeType,positions[19].tradeType,positions[20].tradeType,positions[21].tradeType,positions[22].tradeType,positions[23].tradeType,positions[24].tradeType,positions[25].tradeType,positions[26].tradeType,positions[27].tradeType,positions[28].tradeType,positions[29].tradeType,positions[30].tradeType,positions[31].tradeType,positions[32].tradeType,positions[0].amountIn,positions[1].amountIn,positions[2].amountIn,positions[3].amountIn,positions[4].amountIn,positions[5].amountIn,positions[6].amountIn,positions[7].amountIn,positions[8].amountIn,positions[9].amountIn,positions[10].amountIn,positions[11].amountIn,positions[12].amountIn,positions[13].amountIn,positions[14].amountIn,positions[15].amountIn,positions[16].amountIn,positions[17].amountIn,positions[18].amountIn,positions[19].amountIn,positions[20].amountIn,positions[21].amountIn,positions[22].amountIn,positions[23].amountIn,positions[24].amountIn,positions[25].amountIn,positions[26].amountIn,positions[27].amountIn,positions[28].amountIn,positions[29].amountIn,positions[30].amountIn,positions[31].amountIn,positions[32].amountIn,positions[0].amountOut,positions[1].amountOut,positions[2].amountOut,positions[3].amountOut,positions[4].amountOut,positions[5].amountOut,positions[6].amountOut,positions[7].amountOut,positions[8].amountOut,positions[9].amountOut,positions[10].amountOut,positions[11].amountOut,positions[12].amountOut,positions[13].amountOut,positions[14].amountOut,positions[15].amountOut,positions[16].amountOut,positions[17].amountOut,positions[18].amountOut,positions[19].amountOut,positions[20].amountOut,positions[21].amountOut,positions[22].amountOut,positions[23].amountOut,positions[24].amountOut,positions[25].amountOut,positions[26].amountOut,positions[27].amountOut,positions[28].amountOut,positions[29].amountOut,positions[30].amountOut,positions[31].amountOut,positions[32].amountOut,positions[0]._id,positions[1]._id,positions[2]._id,positions[3]._id,positions[4]._id,positions[5]._id,positions[6]._id,positions[7]._id,positions[8]._id,positions[9]._id,positions[10]._id,positions[11]._id,positions[12]._id,positions[13]._id,positions[14]._id,positions[15]._id,positions[16]._id,positions[17]._id,positions[18]._id,positions[19]._id,positions[20]._id,positions[21]._id,positions[22]._id,positions[23]._id,positions[24]._id,positions[25]._id,positions[26]._id,positions[27]._id,positions[28]._id,positions[29]._id,positions[30]._id,positions[31]._id,positions[32]._id,__v
660b8f33ac7a10fdab7e5968,5201826656,vEqe9vnPRn42Hs1YA7UoNP2JFJApyeu615XkjJzjphY,4hw1dhVQA1iveLfnVzGxRnWZKsuuBUv3XzjftGRuRmJf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662eea26856dc747e529267c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
660c96a737645c179afaf18a,1566352873,8nyXRBJAJJ9ckeiD5fLN9UGoG9wqRuwiWxjJX6vXgPN8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
660f65a20a243819e5de0690,1265279739,LaepSgcs8VC3sQbAF3JfN7BKzChAwYkYUxsQy5PvdVW,6TuvBEZkZi6vCsWLjqKEabAvGbpiUG1L1zRooBoffsoJ,5JU2P8sGQHRz2g185HWDDax2PNPyqbUn6L21yMSLHDzm,rScH3Pt4Vo4JrjfzfuipdHKzh3RQ3qXoiom7z8Q2kjT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Book of Rugs,Book of China,🩷 Gummy's Girlfriend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOR,BOCH,GUMMIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_buy,ray_swap_buy,ray_swap_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,100000000,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33704572792,2393098471634,320021504655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6634861f7abed986fa18c8af,6634f0a05f8f4c37e13eba84,663534d05f8f4c37e13ed1a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
66107592d5bb10c9d73c1929,7169506701,BmXJEjRj6qANSGN298gXs8SyLPkB6zvsNNXKfe1D1i48,9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEPCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEPCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290251305248822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6639e65297223833b600112a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6610adb91deec42d5443cb83,1648526106,8joLcXrQFeJG92Shs5YQEWnJrRXkzDTN3gni2Sk8jcYB,6PzAAqShVBAdmigsM2Zq5DWkNVCFeaimiJWcgeTsy4vq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ran Mooner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165385086813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663e7e6497223833b600e136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
6614cf161bb50dde69c99c11,6952221343,Hw3mioDdsRu8FXu3fB9iLaUb9r6NLa5RHVcaChmvgZ8v,7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,4hw1dhVQA1iveLfnVzGxRnWZKsuuBUv3XzjftGRuRmJf,Fch1oixTPri8zxBnmdCEADoJW2toyFHxqDZacQkwdvSP,HfXLMuSCHvsuYHRLekyW88oiz1LJvRerKh4QH1y5f8xk,ELe8irPCVuqFQ3fuebeHuJVDbjsSrSu9UPd5fYremkEa,9mJttakyiZFF3sCXKSvi1AaQ9zSbrz8kNhqSB13b5Axi,,,,,,,,,,,,,,,,,,,,,,,,,,,SLERF,PONKE,cam,HARAMBE,chibi,STARWARS,PEPCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,SLERF,PONKE,cam,HARAMBE,chibi,STARWARS,PEPCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_buy,ray_swap_sell,ray_swap_buy,ray_swap_buy,ray_swap_sell,ray_swap_sell,ray_swap_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000,1076599516,600000000,100000000,0,0,2000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,401487326381,1002138170001,7381921252715179,454643245130,0,0,403360729002075,,,,,,,,,,,,,,,,,,,,,,,,,,,6621011a8f4413956b56c22c,66225dfceeca18ee05343fd3,6626ec1f2c2c8f58ec884ee2,66282d8ecf383b8aff39f3f5,6635767437484291b1a4cca8,663606ff37484291b1a4f676,6639e8d197223833b600123d,,,,,,,,,,,,,,,,,,,,,,,,,,,12
66182de206f7834d6a02ee9a,994846431,Htt5cawHkv54eC8uPrX8ed7MJQMB1BRKWvt3xpEHXSGP,4hw1dhVQA1iveLfnVzGxRnWZKsuuBUv3XzjftGRuRmJf,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,Bonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,Bonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_buy,ray_swap_sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000000,17636796.00000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47084050838908072,-4897430732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66254842d41c68841a1fe365,66298fadf426a31204025b8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6618613806f7834d6a02eefd,5875162392,3pixJyrM6cShoqBSYxgDqE7FtELievxq4i9Q2j2jdqJp,4hw1dhVQA1iveLfnVzGxRnWZKsuuBUv3XzjftGRuRmJf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66270ad22c2c8f58ec88500e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6619fc1a2d77afd158527397,1768920687,Cz1vo4gpAs99ywS1n89FEhE46ZoexxZXwVg5PM9y1TR7,Gtd7pc3s4TKBabNNW2mwSfJ3jkKTAdfwkFP77r97K6bC,4uEAcRw9FV8VgPY4nt53EVRDYQgYDkfB6oSLV4qbJUbs,So11111111111111111111111111111111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WE ARE RETARDS,Ape,Piexeled Pepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAR,🐒,PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_buy,ray_swap_buy,ray_swap_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,60000000,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763752525210,74403031449119,101401305699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6619fc1a2d77afd158527398,663e858697223833b600e545,66413e9a97223833b6014f49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
661a83f97a07d45f6dc2668d,756345261,FCSDbjGS4bxj8xHPimbNyN5NdngmRgqrDT2Pc6Sx3VFp,2pQgw1pMT64WTRvEYd2Z2sHRNKibu2ciqTjq5nStW8ws,G7HsG5RJdHBrEH5Wwk8hLyjn3m7LaypunYLFXPtvdKE4,Hx6jDBon5Aj9L44xWceh2KxxYnv5cm9nPEFgMSszaFKs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1INTRO,CatGPT,arnuld schwarznegga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTRO,CatGPT,arnuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ray_swap_sell,ray_swap_buy,ray_swap_buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49372731,20000000,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,297583202686498,3991571689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661a8e687a07d45f6dc2672c,661aa5237a07d45f6dc26b5b,661ab4397a07d45f6dc26df8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
